,title,scores
0,Orbea Orca OMX Custom SRAM Red AXS Build Review - feedthehabit.com,"{'label': 'neutral', 'score': 0.9471303224563599}"
1,"Early Data for OMX-0407 Fuel Expansion Cohorts in RCC, Angiosarcoma - OncLive","{'label': 'neutral', 'score': 0.9043235182762146}"
2,New Drug Could Sustain Oxygen-Starved Hearts - ucsf.edu,"{'label': 'neutral', 'score': 0.7902360558509827}"
3,Orbea Oiz OMX: First Ride Review - Bikers Edge,"{'label': 'neutral', 'score': 0.9009918570518494}"
4,"New Firm OMX Ventures, Backed By Billionaire Merieux Family, Comes Out Of Stealth With $150 Million Fund for Bio-Engineering - Forbes","{'label': 'neutral', 'score': 0.7056843638420105}"
5,OMX Ventures Adds New Team Members to Expand Investment and Company Creation Activities in $150M Oversubscribed Fund I - Business Wire,"{'label': 'positive', 'score': 0.5953915119171143}"
6,First Ride Review: Orbea Orca OMX - GRAN FONDO Cycling Magazine,"{'label': 'neutral', 'score': 0.9326032996177673}"
7,European Market Activity - Nasdaq,"{'label': 'neutral', 'score': 0.9371419548988342}"
8,Orbea Orca OMX review - Cyclist,"{'label': 'neutral', 'score': 0.9356501698493958}"
9,Nasdaq OMX Armenia Announces the Listing of the First UCO Securitized Bonds in Armenia - US Embassy in Armenia,"{'label': 'neutral', 'score': 0.9295192360877991}"
10,"First Ride: Orbea Orca OMX, a lightweight aero disc brake-only race-ready bike + video - road.cc","{'label': 'neutral', 'score': 0.8756631016731262}"
11,Custom Graphics of Any Kind with OMX - Racer X Online,"{'label': 'neutral', 'score': 0.9228236079216003}"
12,Orbea unveils 2021 Orca - Cyclingnews,"{'label': 'neutral', 'score': 0.9244688153266907}"
13,Orbea Orca OMX M10i LTD D review - BikeRadar,"{'label': 'neutral', 'score': 0.9373089671134949}"
14,iOmx Therapeutics Initiates Phase Ib with OMX-0407 - Yahoo Finance,"{'label': 'neutral', 'score': 0.8933758735656738}"
15,"New Orbea Orca OMX is more aerodynamic, disc brake only, & offers ""street nature"" style - BikeRumor.com","{'label': 'neutral', 'score': 0.909151554107666}"
16,"Mérieux Equity Partners and Korys Announce the Launch of OMX Europe Venture Fund, Dedicated to Venture Investment Within the Healthcare and Nutrition Sectors - Business Wire","{'label': 'neutral', 'score': 0.767198383808136}"
17,The Merger that Rewrote Nasdaq's Tomorrow: Celebrating 10 Years of Nasdaq + OMX - Nasdaq,"{'label': 'neutral', 'score': 0.7821202278137207}"
18,Orbea Orca OMX M10i LTD D review - BikeRadar,"{'label': 'neutral', 'score': 0.9373089671134949}"
19,Orbea adds OMX carbon to its Oiz race bike - BikeRadar,"{'label': 'neutral', 'score': 0.833412766456604}"
20,Barclays lifts Nasdaq OMX target to $87 on solid Q3 results - Investing.com,"{'label': 'positive', 'score': 0.9228377342224121}"
21,"2021 Orbea Oiz OMX updates lighter, stiffer race-ready XC bike with TR trail bike alter ego - BikeRumor.com","{'label': 'neutral', 'score': 0.7812941074371338}"
22,Bike of the Week | Orbea Orca OMX - BikeRadar,"{'label': 'neutral', 'score': 0.8838503956794739}"
23,First ride review: Orbea Orca 2024 - Outside Magazine,"{'label': 'neutral', 'score': 0.9188251495361328}"
24,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.74% - Investing.com,"{'label': 'negative', 'score': 0.9578288793563843}"
25,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 0.28% - Investing.com,"{'label': 'positive', 'score': 0.9204767346382141}"
26,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 1.93% - Investing.com,"{'label': 'positive', 'score': 0.9136922955513}"
27,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.69% - Investing.com,"{'label': 'negative', 'score': 0.9570870995521545}"
28,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.45% - Investing.com,"{'label': 'negative', 'score': 0.9565163254737854}"
29,"Stockholm Stock Exchange (STO) .ST: What it is, How it Works - Investopedia","{'label': 'neutral', 'score': 0.9513189792633057}"
30,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.25% - Investing.com,"{'label': 'negative', 'score': 0.9610376954078674}"
31,Joy Rides: An award-winning 5.2 kg Orbea Orca OMX homebuild - Escape Collective,"{'label': 'neutral', 'score': 0.5358430743217468}"
32,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 3.85% - Investing.com,"{'label': 'negative', 'score': 0.953963041305542}"
33,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.81% - Investing.com,"{'label': 'positive', 'score': 0.9195703864097595}"
34,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.82% - Investing.com,"{'label': 'negative', 'score': 0.9556972980499268}"
35,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 1.16% - Investing.com,"{'label': 'negative', 'score': 0.9578750729560852}"
36,December: OMX incubator funding | News and features - University of Bristol,"{'label': 'neutral', 'score': 0.9473270177841187}"
37,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.69% - Investing.com,"{'label': 'positive', 'score': 0.9188717603683472}"
38,Reimagine Your Bike Graphics with OMX Graphics - Racer X Online,"{'label': 'neutral', 'score': 0.9348446726799011}"
39,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 3.01% - Investing.com,"{'label': 'positive', 'score': 0.9188185930252075}"
40,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.07% - Investing.com,"{'label': 'negative', 'score': 0.9595156908035278}"
41,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.08% - Investing.com,"{'label': 'positive', 'score': 0.9258835911750793}"
42,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.18% - Investing.com,"{'label': 'positive', 'score': 0.917576253414154}"
43,OMX’s Nicole Verkindt: failure is an entrepreneur’s biggest teacher - BetaKit - Canadian Startup News,"{'label': 'neutral', 'score': 0.7358593344688416}"
44,Your Bike but Better with OMX Graphics - Vurbmoto,"{'label': 'neutral', 'score': 0.8077324628829956}"
45,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.71% - Investing.com,"{'label': 'positive', 'score': 0.9199867248535156}"
46,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.41% - Investing.com,"{'label': 'negative', 'score': 0.9555984139442444}"
47,William Blair starts Nasdaq OMX stock with Outperform rating - Investing.com,"{'label': 'neutral', 'score': 0.7872638702392578}"
48,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.07% - Investing.com,"{'label': 'negative', 'score': 0.9595156908035278}"
49,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.48% - Investing.com,"{'label': 'positive', 'score': 0.9135397672653198}"
50,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.54% - Investing.com,"{'label': 'negative', 'score': 0.95720374584198}"
51,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.47% - Investing.com,"{'label': 'positive', 'score': 0.9269014000892639}"
52,"Orbea’s orange Orca OMX, the Basque beauty of Fundación Euskadi, coming to you? - BikeRumor.com","{'label': 'neutral', 'score': 0.8873680830001831}"
53,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 1.43% - Investing.com,"{'label': 'positive', 'score': 0.917505145072937}"
54,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.27% - Investing.com,"{'label': 'negative', 'score': 0.9579303860664368}"
55,iOmx Therapeutics to present new data on lead programs and I/O target screening platform at AACR 2024 - GlobeNewswire,"{'label': 'neutral', 'score': 0.9190795421600342}"
56,Nasdaq says top shareholder Thoma Bravo to sell shares worth $2.8 bln - Reuters,"{'label': 'neutral', 'score': 0.9102548360824585}"
57,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.56% - Investing.com,"{'label': 'negative', 'score': 0.9563900232315063}"
58,First Ride: 2023 Orbea Oiz consolidates 10kg 120mm XC Race MTB - BikeRumor.com,"{'label': 'neutral', 'score': 0.9421049356460571}"
59,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.45% - Investing.com,"{'label': 'negative', 'score': 0.9552457332611084}"
60,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.31% - Investing.com,"{'label': 'positive', 'score': 0.9226364493370056}"
61,Orbea Orca 2024 first ride review – The renaissance of climbing bikes? - GRAN FONDO Cycling Magazine,"{'label': 'neutral', 'score': 0.857955276966095}"
62,News and Insights - Nasdaq,"{'label': 'neutral', 'score': 0.9205102324485779}"
63,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.87% - Investing.com,"{'label': 'negative', 'score': 0.9573835134506226}"
64,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.52% - Investing.com,"{'label': 'negative', 'score': 0.9569910168647766}"
65,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.03% - Investing.com,"{'label': 'negative', 'score': 0.9587629437446594}"
66,Finland stocks lower at close of trade; OMX Helsinki 25 down 0.26% - Investing.com,"{'label': 'negative', 'score': 0.9595462083816528}"
67,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.52% - Investing.com,"{'label': 'negative', 'score': 0.9538557529449463}"
68,Flash crash set off by ‘fat-fingered’ Citigroup trader could cost $50m - The Guardian,"{'label': 'negative', 'score': 0.5132265090942383}"
69,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.63% - Investing.com,"{'label': 'negative', 'score': 0.9561067223548889}"
70,Nasdaq readjusts in OMX Stockholm Benchmark Index - Marketscreener.com,"{'label': 'neutral', 'score': 0.9350346326828003}"
71,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 1.16% - Investing.com,"{'label': 'negative', 'score': 0.9578750729560852}"
72,Knight Composites goes off-road with new MTB wheels for Novus OMX Pro Team - BikeRumor.com,"{'label': 'neutral', 'score': 0.8887486457824707}"
73,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.54% - Investing.com,"{'label': 'positive', 'score': 0.9282048940658569}"
74,H&M (OMX: HM-B) Company Profile - Coresight Research,"{'label': 'neutral', 'score': 0.9412909746170044}"
75,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 1.25% - Investing.com,"{'label': 'positive', 'score': 0.9223898649215698}"
76,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 0.13% - Investing.com,"{'label': 'positive', 'score': 0.9176890850067139}"
77,Sweden stocks higher at close of trade; OMX Stockholm 30 up 1.49% - Investing.com,"{'label': 'positive', 'score': 0.9125920534133911}"
78,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.36% - Investing.com,"{'label': 'negative', 'score': 0.9565428495407104}"
79,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 1.08% - Investing.com,"{'label': 'positive', 'score': 0.926924467086792}"
80,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.39% - Investing.com,"{'label': 'positive', 'score': 0.9274575710296631}"
81,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.16% - Investing.com,"{'label': 'negative', 'score': 0.9580036997795105}"
82,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 1.12% - Investing.com,"{'label': 'negative', 'score': 0.9574959874153137}"
83,Denmark stocks higher at close of trade; OMX Copenhagen 20 up 0.08% - Investing.com,"{'label': 'positive', 'score': 0.9262294173240662}"
84,Finland stocks lower at close of trade; OMX Helsinki 25 down 1.93% - Investing.com,"{'label': 'negative', 'score': 0.9577991366386414}"
85,Finland stocks lower at close of trade; OMX Helsinki 25 down 1.17% - Investing.com,"{'label': 'negative', 'score': 0.9603079557418823}"
86,New Orbea Orca first ride review: a lightweight renaissance for the brand's most iconic bike - CyclingWeekly,"{'label': 'neutral', 'score': 0.7244287133216858}"
87,Little Known Way to Easily Beat the Nasdaq - TheStreet,"{'label': 'positive', 'score': 0.5907310843467712}"
88,Sweden stocks higher at close of trade; OMX Stockholm 30 up 0.49% - Investing.com,"{'label': 'positive', 'score': 0.913754403591156}"
89,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.13% - Investing.com,"{'label': 'negative', 'score': 0.9562448263168335}"
90,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.92% - Investing.com,"{'label': 'positive', 'score': 0.9262805581092834}"
91,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.01% - Investing.com,"{'label': 'positive', 'score': 0.9319785237312317}"
92,First North Growth Market - Nasdaq,"{'label': 'neutral', 'score': 0.8791808485984802}"
93,Denmark stocks lower at close of trade; OMX Copenhagen 20 down 0.97% - Investing.com,"{'label': 'negative', 'score': 0.9547368288040161}"
94,Finland stocks lower at close of trade; OMX Helsinki 25 down 1.02% - Investing.com,"{'label': 'negative', 'score': 0.9598124027252197}"
95,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.79% - Investing.com,"{'label': 'positive', 'score': 0.9286137223243713}"
96,Lightweight aero is out as Orbea Orca prioritises weight - Cyclingnews,"{'label': 'negative', 'score': 0.5516496300697327}"
97,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.06% - Investing.com,"{'label': 'positive', 'score': 0.9314926266670227}"
98,Review: 2023 Orbea Oiz M-Pro - Don't Call it Downcountry - Pinkbike.com,"{'label': 'neutral', 'score': 0.9469858407974243}"
99,Sweden stocks lower at close of trade; OMX Stockholm 30 down 0.52% - Investing.com,"{'label': 'negative', 'score': 0.9553605318069458}"
